PersonPriceID,PersonID,CategoryName,ListedCount,AvgPrice,MaxPrice,MinPrice,SaleCount,GradedCount,GradedSaleCount,GradedAvgPrice,AuctionCount,AuctionSaleCount,AuctionAvgPrice,AuctionMedianPrice,FirstName,LastName,PlayerName,DeceasedYear,ItemAuctionSellPercent
505777,18839,Trading Cards,379,23.4251,190.76,1.50,166,87,20,52.5145,278,143,19.1234,13.62,Juan,Marichal,Juan Marichal,NULL,0.5143884892086330935
506264,19156,Photos,718,24.474,224.95,0.99,156,375,55,37.7693,554,141,22.9013,17.50,Eddie,Mathews,Eddie Mathews,2001,0.2545126353790613718
506270,19156,Trading Cards,388,32.2175,149.99,2.75,141,214,38,33.4906,252,112,27.7212,22.005,Eddie,Mathews,Eddie Mathews,2001,0.4444444444444444444
506595,19354,Photos,1599,73.583,549.00,0.99,550,598,156,93.9991,1345,487,68.9452,56.00,Willie,Mays,Willie Mays,NULL,0.3620817843866171003
506603,19354,Trading Cards,599,94.1879,3250.00,0.99,230,240,40,198.1612,472,219,79.1615,53.01,Willie,Mays,Willie Mays,NULL,0.4639830508474576271
506610,19357,Photos,409,22.4236,99.95,0.99,119,117,27,30.9275,298,98,15.2823,12.885,Bill,Mazeroski,Bill Mazeroski,NULL,0.3288590604026845637
506620,19357,Trading Cards,262,22.6379,200.00,0.99,103,70,11,64.53,189,95,17.9133,12.50,Bill,Mazeroski,Bill Mazeroski,NULL,0.5026455026455026455
506863,19577,Photos,406,28.859,124.99,1.51,101,190,40,38.0665,328,87,28.3435,29.95,Willie,McCovey,Willie McCovey,NULL,0.2652439024390243902
506869,19577,Trading Cards,303,35.5643,149.99,2.25,107,107,28,57.3062,222,102,34.641,23.71,Willie,McCovey,Willie McCovey,NULL,0.4594594594594594594
508335,20764,Photos,901,12.6009,60.00,0.99,145,338,47,16.6981,744,132,11.4076,9.99,Johnny,Mize,Johnny Mize,1993,0.1774193548387096774
508343,20764,Trading Cards,449,15.4239,72.09,0.99,145,186,32,21.7517,310,124,14.27,9.505,Johnny,Mize,Johnny Mize,1993,0.4000000000000000000
508464,20859,Trading Cards,750,12.903,175.00,0.01,192,200,13,20.7192,579,180,12.5862,7.22,Paul,Molitor,Paul Molitor,NULL,0.3108808290155440414
509308,21469,Trading Cards,318,27.0284,127.93,0.99,108,134,21,41.6638,224,105,26.6104,17.08,Eddie,Murray,Eddie Murray,NULL,0.4687500000000000000
509357,21510,Photos,1367,49.3248,699.00,1.51,507,391,128,92.5837,1146,439,43.3653,26.00,Stan,Musial,Stan Musial,NULL,0.3830715532286212914
509365,21510,Trading Cards,815,57.8444,899.99,1.25,326,236,57,89.9522,617,288,46.2254,33.175,Stan,Musial,Stan Musial,NULL,0.4667747163695299837
509793,21868,Photos,280,16.2602,49.00,1.04,70,127,21,22.5745,194,56,13.8805,10.495,Hal,Newhouser,Hal Newhouser,1998,0.2886597938144329896
511180,22917,Photos,755,20.408,179.99,0.99,166,257,60,19.5856,579,143,13.3413,12.09,Jim,Palmer,Jim Palmer,NULL,0.2469775474956822107
511187,22917,Trading Cards,689,13.8536,109.95,0.99,213,155,17,32.4993,546,207,13.0819,8.29,Jim,Palmer,Jim Palmer,NULL,0.3791208791208791208
511913,23521,Photos,363,26.5937,285.00,2.50,79,88,14,46.299,277,60,24.5006,11.975,Tony,Perez,Tony Perez,NULL,0.2166064981949458483
511919,23521,Trading Cards,346,18.6814,200.00,0.99,113,115,16,43.4846,226,103,14.743,10.00,Tony,Perez,Tony Perez,NULL,0.4557522123893805309
512011,23577,Photos,1070,10.7248,150.00,0.99,210,210,34,13.7543,879,186,9.8422,9.21,Gaylord,Perry,Gaylord Perry,NULL,0.2116040955631399317
512020,23577,Trading Cards,791,8.2536,86.67,0.99,187,213,10,24.89,600,167,7.866,5.12,Gaylord,Perry,Gaylord Perry,NULL,0.2783333333333333333
512986,24431,Photos,226,64.0489,275.00,8.95,66,126,17,94.8712,185,59,51.3108,45.44,Kirby,Puckett,Kirby Puckett,2006,0.3189189189189189189
512994,24431,Trading Cards,534,38.2071,290.00,0.99,186,289,31,62.0704,447,180,36.954,20.97,Kirby,Puckett,Kirby Puckett,2006,0.4026845637583892617
513708,24977,Photos,504,30.1625,120.00,7.49,71,257,28,35.7638,390,65,28.9476,24.99,Pee Wee,Reese,Pee Wee Reese,1999,0.1666666666666666666
